Id|Title|Problem Statement|Team Mgmt Received Date|Executive Summary|Status|Process Step|Resolution Group|Primary Council POC - Name|Secondary Resolution Group|Secondary Council POC - Name|Reporting Organization|Facility|Submitter - Name|Ticket Numbers|Notes/Updates|Source|Scope of Impact|Intake POC - Name|Desired Outcome|The Ask|Team Mgmt POC|Modified|ID Plus Title|PIT - # of Days till Next Update|Risk Score|SME POCs
19|Determine whether local practice aligns with enterprise guidance|A local team requested clarification because their current practice appeared to differ from enterprise guidance. The issue needs a documented interpretation before the team can decide whether a change is required.|2024-01-07|This item is a policy interpretation request. The current monitored state indicates the issue should remain visible while the responsible group reviews the applicable guidance. Current status is Closed and the current process step is Pending Pre-Closure.|Closed|Pending Pre-Closure|Enabling Entities||Patient Engagement & Virtual Health|Hill, Priya B.|Region 30|Pine River Outpatient Center|Coleman, Logan Y.||2024-01-18: Reviewed platform-related context and noted where process clarification is still needed.; 2024-02-01: Added context from the latest review. Technical support should only be re-engaged if new evidence is added.|Readiness Assessment||Gray, Jamal M.||Review the policy question, identify the applicable guidance, and state whether the local practice should continue or be revised.|Mitchell, Alex|2024-01-24 05:37:14|19 - Determine whether local practice aligns with enterprise guidance|No Date||Enabling Entities;Collins, Logan L.
20|Standardize regional reporting submission format|Regional reporting updates arrived in different formats, which slowed consolidation and introduced manual cleanup. The team needs a standard submission format before the next reporting cycle.|2022-06-11|The issue focuses on improving the consistency of regional reporting inputs. The pending status should lead to a practical decision on required fields and timing. Current status is Pending Closure and the current process step is Pending Acceptance.|Pending Closure|Pending Acceptance|Research||Council Ops|Evans, Maya F.|Region 50|Westlake Medical Center|Collins, Paige|HR10020|2022-06-23 - Reviewed intake details and confirmed the issue is still aligned to the current owner. Updated after checking prior notes. HR10020 was used as the ticket reference for this update.; 2022-07-08 - No change to status after review.|Enterprise|||A repeatable reporting package that can be consolidated without manual restructuring.|Confirm the standard submission format, communicate it to regional contributors, and identify when the new format should take effect.||2023-05-07 18:09:21|20 - Standardize regional reporting submission format|Overdue||Collins, Paige;Research;Cooper, Paige M.
21|Document evidence needed before case closure|Case records were reaching the closure stage without a consistent explanation of what evidence supported closure. Reviewers needed to reopen some items to confirm whether the action was complete.|2023-07-30|This record tracks the need for closure evidence standards. The solution should make it clear what documentation is required before an item is marked complete. Current status is Pending Closure and the current process step is Solution Implementation.|Pending Closure|Solution Implementation||Gomez, Ian|||||Cooper, Tara A.||2023-08-12 - Discussed the item with the coordinating team and captured the next handoff point.; 2023-08-28 - Added for reporting clarity.; 2023-09-12 - Waiting on the assigned group to confirm timing.|Region 50|||A closure standard that reduces reopened items and supports auditability.|Define the closure evidence requirement and confirm whether the current record can proceed to final closure.||2023-08-11 12:44:57|21 - Document evidence needed before case closure|Overdue||Cox, Tara
22|Investigate delayed dashboard refresh for leadership review|Dashboard users reported that refreshed data was not available when expected for a leadership review. The timing issue caused teams to rely on manual extracts for the meeting.|2023-05-17|This item captures a dashboard refresh timing concern. The review should determine whether the delay came from source data timing, refresh scheduling, or communication expectations. Current status is Issue Engagement and no process step is currently assigned.|Issue Engagement||Pharmacy Council|Robinson, Olivia Y.|Clinical Support Services||||Cox, Yara B.|ICT10022|2023-05-17: Checked the issue description against the current status and noted no conflicting information. Summary should be refreshed if new source details are added. ICT10022 was used as the ticket reference for this update.|Region 40||Ross, Paige|A dependable refresh schedule and a clear escalation path when data is late.|Identify the cause of the delayed refresh, confirm the expected refresh window, and document whether a workaround is still needed.|Phillips, Diana|2024-05-15 23:25:43|22 - Investigate delayed dashboard refresh for leadership review|Overdue||Pharmacy Council;Davis, Yara P.
23|Refine intake routing criteria for mixed-source requests|Requests arriving from more than one source were not always routed consistently. Some records were sent for coordination while similar records stayed in intake, creating uncertainty for the team managing the list.|2023-01-13|The issue concerns routing criteria for requests with mixed intake sources. The current active management status should result in a practical routing decision and a reusable rule. Current status is Active Management and the current process step is Coordinating with Other (Described in Exec Sum).|Active Management|Coordinating with Other (Described in Exec Sum)|Research|Kelly, Marcus|Acute Care Delivery|Martin, Caleb|||Davis, Bianca||2023-01-14 - Manager review completed, record should stay visible until the next action is documented.; 2023-02-01 - Keep visible for the next leadership review cycle.|App;Enterprise;Region 40||Foster, Dana|A clear triage rule that reduces inconsistent routing across intake sources.|Review the mixed-source routing examples, confirm the routing rule, and update intake notes so future requests follow the same path.||2023-09-19 21:37:08|23 - Refine intake routing criteria for mixed-source requests|No Date|465|Research;Diaz, Bianca Q.
25|Confirm coverage decision for service availability concern|A service availability concern was escalated without enough information to determine whether it affected one facility or a broader operating area. The issue needs a coverage decision before action can continue.|2023-02-22|This item tracks a service coverage question requiring council coordination. The decision should clarify the scope and determine whether the issue belongs with the assigned group or another team. Current status is Intake and the current process step is Coordinating with Council.|Intake|Coordinating with Council|||||||Diaz, Darius D.|REQ10025|2023-02-24: Reviewed the linked ticket trail and confirmed the record still needs local context. Referenced REQ10025 during review.; 2023-03-15: Added context from the latest review. Ticket activity and issue status are currently aligned.|Mailbox;Region 40|||A documented coverage decision and a clear next owner for any remaining action.|Review the service coverage concern, confirm the affected scope, and decide whether the assigned group should continue resolution.|Peterson, Blake B.|2023-03-18 22:26:12|25 - Confirm coverage decision for service availability concern|Overdue||Diaz, Darius D.;Edwards, Darius
26|Resolve delayed response to quality review request|A quality review request remained open while the team waited for additional information. The delay made it difficult to determine whether the issue should stay active, be closed, or move to another step.|2022-09-18|This record captures a response-timing issue for quality review. The workflow step should show that the team is waiting for information needed to complete the review. Current status is Closed and the current process step is Awaiting Information Response.|Closed|Awaiting Information Response||Foster, Bianca Q.|||Region 40|Prairie View Outpatient Center|Edwards, Ian E.|INT-10026|2022-09-21 - Handoff note added so the receiving group has the background needed to continue. Documented based on current owner feedback. Related ticket INT-10026 remains the supporting reference.; 2022-10-11 - No additional handoff details requested at this time.|Region 30|All facilities with impacted service|Rivera, Kara F.|A timely response or a documented decision that allows the record to move forward.|Request the missing information, document the response deadline, and determine the next step if no response is received.|Thompson, Hannah|2024-06-11 11:39:35|26 - Resolve delayed response to quality review request|Overdue||Evans, Ian S.
27|Validate readiness checklist before implementation decision|Readiness materials were available, but stakeholders were not aligned on which checklist items had to be complete before implementation. The lack of agreement created risk for the planned transition.|2023-03-04|The issue documents a readiness validation concern. The review should connect open checklist items to the implementation decision and identify whether any item blocks progress. Current status is Issue Engagement and no process step is currently assigned.|Issue Engagement|||Roberts, Keith|||Region 30|Lakeside Care Campus|Evans, Lena|SRV10027|2023-03-08 - Follow-up question remains open regarding the expected resolution path. SRV10027 was used as the ticket reference for this update.; 2023-03-29 - Updated after checking prior notes.; 2023-04-18 - Follow-up remains open.|Enterprise;App||Ward, Hannah|A readiness decision that separates true blockers from follow-up items that can be monitored after implementation.|Validate the readiness checklist, identify blocking items, and confirm whether implementation can proceed as scheduled.||2024-06-07 09:45:55|27 - Validate readiness checklist before implementation decision|Overdue|439|Fisher, Lena T.
28|Determine ownership for ticket escalation follow-up|A ticket escalation was discussed in more than one forum without a single owner for follow-up. The lack of ownership made it unclear who should provide the next update.|2023-07-22|This issue captures an escalation ownership gap. The record should remain focused on assigning the next action rather than reopening the underlying ticket details. Current status is Issue Engagement and no process step is currently assigned.|Issue Engagement||||||||Fisher, Omar G.||2023-07-27: Closure review started and current notes were checked for sufficient evidence. Closeout note should include the final decision.|Readiness Assessment|Multiple Regions|Cox, Darius S.||Identify the owner for escalation follow-up, document the expected update, and close the loop with the requesting team.|Peterson, Blake B.|2024-04-04 21:36:37|28 - Determine ownership for ticket escalation follow-up|Overdue||Flores, Omar
29|Review recurring referral routing exception pattern|Several referral routing exceptions followed the same pattern, suggesting the issue may not be isolated to a single record. The team needs to decide whether this is a monitored trend or an active process issue.|2023-01-07|The record captures a recurring referral routing pattern. The response should explain whether the pattern requires active management or continued monitoring. Current status is Issue Engagement and no process step is currently assigned.|Issue Engagement||Pharmacy Council||Radiology||||Flores, Sofia H.||2023-01-13 - Impact review completed, no emergency action noted, but continued tracking is recommended.; 2023-02-05 - Risk appears manageable with current follow-up.|App||||Review recent routing exceptions, determine whether the pattern is recurring, and recommend active management or continued monitoring.|Evans, Hannah P.|2024-05-06 14:31:56|29 - Review recurring referral routing exception pattern|Overdue|498|Flores, Sofia H.;Pharmacy Council;Foster, Sofia W.
30|Clarify scheduling ownership before pending acceptance|The appointment scheduling issue moved toward acceptance before ownership was fully documented. Without a clear owner, the same question may return during closure review.|2022-09-12|This item tracks ownership clarification for a scheduling issue. The pending acceptance step should include confirmation that the receiving team understands the expected action. Current status is Pending Closure and the current process step is Pending Acceptance.|Pending Closure|Pending Acceptance|System Integration Office||Bed Management|Stewart, Nadia|||Foster, Xavier|QA-10030;SYS10047|2022-09-19: Sent follow-up request to clarify the remaining action and expected response date. QA-10030 was used as the ticket reference for this update.; 2022-10-13: Updated after comparing the request to the current workflow step. Follow-up owner should update the record before the next cycle.|External Intake Channel||Evans, Darius E.||Confirm the accepting team, document the owner, and note any remaining scheduling assumptions before acceptance is finalized.||2024-04-02 08:13:47|30 - Clarify scheduling ownership before pending acceptance|No Date||System Integration Office;Garcia, Xavier X.
31|Confirm authoritative data source for access reporting|Access reporting questions continued because users referenced different data extracts for the same measure. The issue requires confirmation of the authoritative source before guidance can be finalized.|2022-10-28|This record focuses on source selection for access reporting. The closeout should identify the authoritative source and explain how users should handle older extracts. Current status is Closed and no process step is currently assigned.|Closed|||Long, Blake D.|||||Garcia, Avery K.||2022-11-05 - Confirmed the issue should be tracked with the current reporting entity pending more detail. Documented based on current owner feedback.; 2022-11-30 - No broader regional impact confirmed yet.|Enterprise|Multiple Regions|||Confirm the authoritative access reporting source and document how conflicting extracts should be handled.||2023-05-05 15:34:41|31 - Confirm authoritative data source for access reporting|No Date||Gomez, Avery
32|Review training completion exception for regional rollout|A regional rollout record showed training exceptions that were not explained in the summary materials. The team needs to determine whether the exceptions are valid, duplicate, or require follow-up.|2024-07-06|This item documents a training completion exception. The review should connect the exception to readiness decisions and avoid creating duplicate follow-up records. Current status is Deleted/Error and no process step is currently assigned.|Deleted/Error||Ambulatory Council||Supply Chain Management|Edwards, Uma|Region 50|Silver Mesa Clinic|Gomez, Dana L.|TRN-10032;HR10049;OPS-10066|2024-07-15 - System-related details checked, next step is to confirm business ownership. Referenced TRN-10032 during review.; 2024-07-31 - Updated after checking prior notes.; 2024-07-31 - Business process review remains the next action.|Region 40||Bennett, Jamal Q.|A clean readiness record that explains the exception and identifies whether additional action is required.|Review the training exception, confirm whether it is valid, and document the action needed before rollout proceeds.|Adams, Diana Y.|2024-07-17 15:58:33|32 - Review training completion exception for regional rollout|No Date||Ambulatory Council;Gray, Dana Z.
33|Prepare inventory visibility issue for pre-closure review|An inventory visibility concern was nearing closure, but the record did not clearly state what changed or why the issue could be closed. Reviewers need enough information to confirm that the action addressed the concern.|2022-08-04|This issue tracks final review of an inventory visibility concern. The pre-closure step should capture the resolution evidence and identify any monitoring that remains. Current status is Intake and the current process step is Pending Pre-Closure.|Intake|Pending Pre-Closure|||||||Gray, Hannah|HR10033;OPS-10050;ICT10067|2022-08-14: Reviewed intake details and confirmed the issue is still aligned to the current owner. No change to status after review. Referenced HR10033 during review.|External Intake Channel|||A complete pre-closure record with enough detail for reviewers to approve closure.|Document the resolution evidence, confirm whether any monitoring remains, and prepare the record for closure review.|Lewis, Jordan N.|2023-01-30 15:32:08|33 - Prepare inventory visibility issue for pre-closure review|No Date||Gray, Hannah;Green, Hannah A.
34|Validate regional visibility question for the affected team|The issue came in because the team could not confirm the expected path for regional visibility question. The response needs to identify who owns the next step and what evidence is needed to finish review. Current status is Active Management; the listed owner context is Community Data Integration.|2024-02-03|This record summarizes regional visibility question, current status, and ownership. The row should remain consistent with the related lookup and history files.|Active Management|Pending Pre-Closure|Community Data Integration||||||Green, Keith N.||2024-02-14 - Confirmed coordination path with the listed group and noted the expected follow-up.; 2024-03-13 - Next coordination touchpoint should resolve ownership.|App;External Intake Channel|||Consistent handling for similar requests for regional visibility question, with a practical update that supports leadership reporting before the item is considered complete.|Confirm the accountable owner, state whether closure is appropriate, and update the record with the decision for this regional visibility question record.|Coleman, Ian|2024-05-06 18:41:40|34 - Validate regional visibility question for the affected team|Overdue|566|Community Data Integration;Hall, Keith
35|Prepare external intake channel item tied to appointment template review|The item reflects uncertainty around appointment template review. The next update should separate the operational question from any related ticket activity. Current status is Closed; the listed owner context is the assigned team.|2023-05-20|Captures the current state of an appointment template review.|Closed||||||||Hall, Olivia P.||2023-06-01: Checked the issue description against the current status and noted no conflicting information.; 2023-06-30: Updated after comparing the request to the current workflow step. No data conflict noted in this review.|External Intake Channel|Unique to report facility|Gomez, Keith C.|A documented interpretation for the affected team for appointment template review, with a record that can be reviewed without extra context before the item is considered complete.|Identify any blocker, confirm the scope of impact, and clarify the expected response for this appointment template review record.|Edwards, Dana|2024-02-26 12:25:23|35 - Prepare external intake channel item tied to appointment template review|No Date||Harris, Olivia C.
36|Resolve training roster exception with Community Data Integration|A recurring question about training roster exception created extra coordination work. The record should explain whether this is an active issue, a monitored item, or a closure candidate. Current status is Intake; the listed owner context is Community Data Integration. A related ticket is present, so the issue note should distinguish ticket activity from the operational decision.|2024-01-22|Training roster exception could be tracked through intake and follow-up. The status is Intake, and the record should not imply work beyond the documented scope.|Intake|Pending Acceptance|Community Data Integration||Acute Care Delivery|Adams, Priya|Region 30|Lakeside Care Campus|Harris, Robin|CASE-10036|2024-02-04 - Manager review completed, record should stay visible until the next action is documented. Documented based on current owner feedback. Referenced CASE-10036 during review.; 2024-03-05 - Escalation is not needed unless the next update is missed.|Sprint List||Cooper, Logan|A reusable decision note for training roster exception, with a clean closure path before the item is considered complete.|Validate the current process step, check whether the related source still applies, and confirm the accountable owner for this training roster exception record. Include Acute Care Delivery if their input is needed for the final response.|Wood, Theo V.|2024-04-24 19:19:52|36 - Resolve training roster exception with Community Data Integration|No Date||Community Data Integration;Hayes, Robin D.
37|Document reconciliation mismatch review before closure|The submitter described a gap in reconciliation mismatch review. The request should be handled in a way that prevents duplicate follow-up through another source. Current status is Monitored; the listed owner context is the assigned team. A related ticket is present, so the issue note should distinguish ticket activity from the operational decision.|2023-07-15|This issue involves reconciliation mismatch review. The current source value is Readiness Assessment, which should be considered when interpreting the request.|Monitored|Pending Pre-Closure|||||||Hayes, Wendy R.|REQ10037|2023-07-15 - Reviewed the linked ticket trail and confirmed the record still needs local context. Referenced REQ10037 during review.; 2023-08-15 - Documented based on current owner feedback.; 2023-08-26 - Ticket reference should remain linked until the record is closed.|Readiness Assessment||Davis, Tara B.||Update the record with the decision, note what evidence is still missing, and identify any blocker for this reconciliation mismatch review record.|Jenkins, Rafael|2024-03-02 06:01:32|37 - Document reconciliation mismatch review before closure|Overdue||Hayes, Wendy R.;Henderson, Wendy
38|Align shared mailbox intake for all facilities/all regions|The issue came in because the team could not confirm the expected path for shared mailbox intake. The issue needs enough context so another reviewer can understand why the item remains open. Current status is Deleted/Error; the listed owner context is the assigned team.|2022-08-20|Tracks a shared mailbox intake concern with status Deleted/Error. The assigned context is all facilities/all regions, and the notes should stay aligned to that scope.|Deleted/Error|Pending Implementation|||||||Henderson, Angela S.||2022-08-21: Handoff note added so the receiving group has the background needed to continue. Receiving group should acknowledge before the item moves again.|Sprint List|All Facilities/All Regions|Gomez, Quinn|A practical update that supports leadership reporting for shared mailbox intake, with consistent handling for similar requests before the item is considered complete.|Clarify the expected response, document the next action, and validate the current process step for this shared mailbox intake record.|Bryant, Tara C.|2024-06-05 21:20:56|38 - Align shared mailbox intake for all facilities/all regions|Overdue||Hill, Angela F.
39|Clarify app item tied to capacity assumption review|The item reflects uncertainty around capacity assumption review. Different reviewers could reasonably interpret the next action differently without an added decision note. Current status is Active Management; the listed owner context is the assigned team. A related ticket is present, so the issue note should distinguish ticket activity from the operational decision.|2023-04-19|Summarizes capacity assumption review for Redwood Health Center. The current process step is not yet assigned, so the next update should focus on the remaining decision point.|Active Management||||||Region 50|Redwood Health Center|Hill, Casey|SRV10039|2023-04-21 - Follow-up question remains open regarding the expected resolution path. SRV10039 was used as the ticket reference for this update.; 2023-05-24 - Answer is needed before the next process step can be confirmed.|App||Hill, Diana T.|A record that can be reviewed without extra context for capacity assumption review, with a documented interpretation for the affected team before the item is considered complete.|Confirm the accountable owner, state whether closure is appropriate, and update the record with the decision for this capacity assumption review record.|Long, Maya|2024-04-19 00:06:59|39 - Clarify app item tied to capacity assumption review|No Date|424|Howard, Casey G.
40|Confirm guidance interpretation request with Emergency Medicine|A recurring question about guidance interpretation request created extra coordination work. The available information is enough to begin review, but the resolution path still needs to be stated plainly. Current status is Pending Closure; the listed owner context is Emergency Medicine.|2024-07-05|This record summarizes guidance interpretation request, current status, and ownership. The row should remain consistent with the related lookup and history files.|Pending Closure||Emergency Medicine|Kelly, Marcus|||||Howard, Grace V.||2024-07-08: Record appears close to closure, but final validation is still pending.; 2024-07-11: Updated after comparing the request to the current workflow step. Closeout note should include the final decision.|App||Foster, Jordan R.|A clean closure path for guidance interpretation request, with a reusable decision note before the item is considered complete.|Identify any blocker, confirm the scope of impact, and clarify the expected response for this guidance interpretation request record.||2024-07-27 12:51:37|40 - Confirm guidance interpretation request with Emergency Medicine|No Date|450|Emergency Medicine;Hughes, Grace
41|Investigate closure evidence standard before next review|The submitter described a gap in closure evidence standard. The concern appears to involve ownership, timing, or documentation rather than a single isolated task. Current status is Pending Closure; the listed owner context is the assigned team.|2022-06-10|Captures the current state of a closure evidence standard review.|Pending Closure|Solution Implementation||Johnson, Jamal Y.|||||Hughes, Kara W.||2022-06-14 - Risk context updated based on current scope and status information. Added context from the latest review.; 2022-06-18 - Reassess if scope expands.|Sprint List|Unique to report facility|Nguyen, Brianna F.|A clear owner and next step for closure evidence standard, with reduced duplicate follow-up before the item is considered complete.|Validate the current process step, check whether the related source still applies, and confirm the accountable owner for this closure evidence standard record.|Carter, Bianca E.|2024-03-11 19:43:06|41 - Investigate closure evidence standard before next review|No Date||Hughes, Kara W.;Jackson, Kara J.
